protocol_id,platform,tool_version,top,width,implementation,architecture,evidence_class,status,support_status,nand2_static,dff_static,state_bits,input_bits,output_bits,port_bits,wire_bits,connections_static,max_fanout,cross_lane_connections,unit_nand_critical_depth,combinational_loop_status,netlist_sha256,warning_count,notes
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_join_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,52,0,0,16,8,24,68,112,22,0,5,ACYCLIC,74cdab7cab4bf70376c5d4cfc5405188f830bf753e7e68246268ccc471af959b,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_join_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,39,0,0,16,8,24,55,86,7,0,5,ACYCLIC,791fbfd022875e325e1949431619ea7fba39188a1c3c29c4567b989a0d5e9b89,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_meet_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,72,0,0,16,8,24,88,152,22,0,6,ACYCLIC,2c24d3dc5442f3c6445be19ac66095fb0fd5496ca92639dd16e8ec0e83ecfe4b,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_meet_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,46,0,0,16,8,24,62,100,8,0,5,ACYCLIC,f6ad59bf87cda952d3802cb037245b4a2353d601fe97d0b90364151d701c36a6,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_to_bin_w4,4,REPRESENTATION-ADAPTER-S4,THERMOMETER_TO_BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,136,0,0,7,7,14,143,279,44,0,20,ACYCLIC,2f711bd4395df0a590844b3fcd3604b076e883459d54f23984339fcd5f5c223f,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_to_bin_w4,4,REPRESENTATION-ADAPTER-S4,THERMOMETER_TO_BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,23,0,0,7,7,14,50,53,4,0,6,ACYCLIC,933d99f5b1f1e5c7d77758da35954a834294f966e83e7c3ad26b60fa7e59211e,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_validate_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,28,0,0,7,1,8,35,57,8,0,14,ACYCLIC,332cbbf67c3a62c9a8286f7535bbb669df586fd4f5bea38f7f22676d1041bf4e,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_validate_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,9,0,0,7,1,8,27,19,3,0,5,ACYCLIC,77a895e7d6e18e925af455df62be227df375c810bc63c2eab9711b3ef1e127ea,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_vsc_query_w4,4,VALUATION-SIDECAR-S4,THRESHOLD_SIDECAR_QUERY,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,45,0,0,10,2,12,55,92,8,0,18,ACYCLIC,d00387862ced3c2c399a724816072b97cb8e01bf29bae7720e04f6b8a41ea83a,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_vsc_query_w4,4,VALUATION-SIDECAR-S4,THRESHOLD_SIDECAR_QUERY,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,25,0,0,10,2,12,49,52,4,0,8,ACYCLIC,0e50774b659cb67fc99b7f68873e2ab814bacdba3f92b2acd543e8873418e7a4,1,Warning count was parsed from the corresponding synthesis log.
